ΕΛΛΗΝΙΚΗ ΟΝΟΜΑΤΟΛΟΓΙΑ ΚΑΙ ΚΩΔΙΚΟΠΟΙΗΣΗ ΤΩΝ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;;;
Α/α;ΚΩΔΙΚΟΣ;ΤΕΛΙΚΕΣ ΟΝΟΜΑΣΙΕΣ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;
2575;X635757.1;ΔΙΑΓΝΩΣΤΙΚΗ ΑΡΘΡΟΣΚΟΠΗΣΗ ΠΟΔΟΚΝΗΜΙΚΗΣ;;;;;
2576;X635757.2;ΑΡΘΡΟΣΚΟΠΙΚΗ ΑΡΘΡΟΔΕΣΗ ΠΟΔΟΚΝΗΜΙΚΗΣ;;;;;
2577;X635757.3;ΕΠΕΜΒΑΤΙΚΗ ΑΡΘΡΟΣΚΟΠΙΣΗ ΠΟΔΟΚΝΗΜΙΚΗΣ;;;;;
2578;X635757.4;ΑΝΑΤΑΞΗ ΚΑΤΑΓΜΑΤΟΣ ΤΗΣ ΔΙΑΦΥΣΗΣ ΤΗΣ ΚΝΗΜΗΣ (ΜΕ Ή ΧΩΡΙΣ  ΚΑΤΑΓΜΑ ΠΕΡΟΝΗΣ), ΚΑΙ ΕΞΩΤΕΡΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ ;;;;;
2579;X635961;ΤΟΜΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ, ΑΡΘΡΙΚΟΣ ΘΥΛΑΚΟΣ, ΑΚΡΟΣ ΠΟΥΣ;;;;;
2580;X635963;ΑΝΕΝΕΡΓΟΣ;;;;;
2581;X635965;ΑΝΕΝΕΡΓΟΣ;;;;;
2582;X635969;ΤΟΜΗ, ΦΛΟΙΟΣ ΟΣΤΟΥ (ΠΧ., ΟΣΤΕΟΜΥΕΛΙΤΙΔΑ Η ΑΠΟΣΤΗΜΑ ΟΣΤΟΥ), ΑΚΡΟΣ ΠΟΥΣ;;;;;
2583;X635975;ΤΟΜΗ ΠΕΡΙΤΟΝΙΑΣ, ΑΚΡΟΣ ΠΟΥΣ ΚΑΙ/Ή ΔΑΧΤΥΛΟ;;;;;
2584;X635979;ΤΕΝΟΝΤΟΤΟΜΗ, ΔΙΑΔΕΡΜΙΚΗ, ΔΑΧΤΥΛΟ, ΕΝΑΣ ΤΕΝΟΝΤΑΣ;;;;;
2585;X635981;ΤΕΝΟΝΤΟΤΟΜΗ, ΔΙΑΔΕΡΜΙΚΗ, ΔΑΧΤΥΛΟ, ΠΟΛΛΑΠΛΟΙ ΤΕΝΟΝΤΕΣ;;;;;
2586;X635999;ΑΡΘΡΟΤΟΜΗ, ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΔΙΕΡΕΥΝΥΣΗ, ΠΑΡΟΧΕΤΕΥΣΗΣ, Ή ΑΦΑΙΡΕΣΗΣ ΕΛΕΥΘΕΡΟΥ Ή ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΕΝΔΟΤΑΡΣΙΑΣ Ή ΤΑΡΣΟΜΕΤΑΤΑΡΣΙΑΣ ΑΡΘΡΩΣΗΣ;;;;;
2587;X636003;ΑΡΘΡΟΤΟΜΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΔΙΕΡΕΥΝΗΣΗΣ, ΠΑΡΟΧΕΤΕΥΣΗΣ, Ή ΑΦΑΙΡΕΣΗΣ ΕΛΕΥΘΕΡΟΥ Ή ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΜΕΤΑΤΑΡΣΙΟΦΑΛΑΓΓΙΚΗ ΑΡΘΡΩΣΗ;;;;;
2588;X636007;ΑΡΘΡΟΤΟΜΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΔΙΕΡΕΥΝΗΣΗΣ, ΠΑΡΟΧΕΤΕΥΣΗΣ, Ή ΑΦΑΙΡΕΣΗΣ ΕΛΕΥΘΕΡΟΥ Ή ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΜΕΣΟΦΑΛΑΓΓΙΚΗ ΑΡΘΡΩΣΗ;;;;;
2589;X636029;ΑΠΕΛΕΥΘΕΡΩΣΗ, ΤΑΡΣIΑΙΟΣ ΣΩΛΗΝΑΣ (ΑΠΟΣΥΜΠΙΕΣΗ ΝΕΥΡΟΥ ΟΠΙΣΘΙΑΣ ΚΝΗΜΗΣ);;;;;
2590;X636045;ΕΚΤΟΜΗ, ΟΓΚΟΣ, ΚΑΤΩ ΑΚΡΟ, ΥΠΟΔΟΡΙΟΣ ΙΣΤΟΣ;;;;;
2591;X636049;ΕΚΤΟΜΗ, ΟΓΚΟΣ, ΚΑΤΩ ΑΚΡΟ, ΕΝ ΤΩ ΒΑΘΕΙ, ΥΠΟΠΕΡΙΤΟΝΙΑΚΟΣ, ΕΝΔΟΜΥΪΚΟΣ;;;;;
2592;X636051;ΡΙΖΙΚΗ ΑΦΑΙΡΕΣΗ ΟΓΚΟΥ (ΠΧ. ΚΑΚΟΗΘΟΥΣ ΝΕΟΠΛΑΣΜΑΤΟΣ), ΜΑΛΑΚΟΣ ΙΣΤΟΣ ΑΚΡΟΥ ΠΟΔΟΣ;;;;;
2593;X636059;ΑΡΘΡΟΤΟΜΗ ΜΕ ΒΙΟΨΙΑ, ΕΝΔΟΤΑΡΣΙΑ Ή ΤΑΡΣΟΜΕΤΑΤΑΡΣΙΑ ΑΡΘΡΩΣΗ;;;;;
2594;X636063;ΑΡΘΡΟΤΟΜΗ ΜΕ ΒΙΟΨΙΑ, ΜΕΤΑΤΑΡΣΙΟΦΑΛΑΓΓΙΚΗ ΑΡΘΡΩΣΗ;;;;;
2595;X636067;ΑΡΘΡΟΤΟΜΗ ΜΕ ΒΙΟΨΙΑ, ΜΕΣΟΦΑΛΑΓΓΙΚΗ ΑΡΘΡΩΣΗ;;;;;
2596;X636069;ΑΝΕΝΕΡΓΟΣ;;;;;
2597;X636079;ΕΚΤΟΜΗ ΠΕΡΙΤΟΝΙΑΣ, ΠΕΛΜΑΤΙΑΙΑ ΠΕΡΙΤΟΝΙΑ, ΜΕΡΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
2598;X636083;ΕΚΤΟΜΗ ΠΕΡΙΤΟΝΙΑΣ, ΠΕΛΜΑΤΙΑΙΑ ΠΕΡΙΤΟΝΙΑ, ΡΙΖΙΚΗ (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
2599;X636099;ΘΥΛΑΚΕΚΤΟΜΗ, ΕΝΔΟΤΑΡΣΙΑ Η  ΤΑΡΣΟΜΕΤΑΤΑΡΣΙΑ ΑΡΘΡΩΣΗ, ΚΑΘΕ ΕΚΤΟΜΗ;;;;;
2600;X636103;ΘΥΛΑΚΕΚΤΟΜΗ, ΜΕΤΑΤΑΡΣΙΟΦΑΛΑΓΓΙΚΗ ΑΡΘΡΩΣΗ, ΚΑΘΕ ΕΚΤΟΜΗ;;;;;
2601;X636119;ΕΚΤΟΜΗ, ΜΕΣΟΔΑΚΤΥΛΙΟ ΝΕΥΡΙΝΩΜΑ (MORTON), ΕΝΑ, ΚΑΘΕ ΕΚΤΟΜΗ;;;;;
2602;X636131;ΘΥΛΑΚΕΚΤΟΜΗ, ΕΛΥΤΡΟ ΤΕΝΟΝΤΑ, ΑΚΡΟΣ ΠΟΥΣ, ΚΑΜΠΤΗΡΑΣ;;;;;
2603;X636135;ΘΥΛΑΚΕΚΤΟΜΗ, ΕΛΥΤΡΟ ΤΕΝΟΝΤΑ, ΑΚΡΟΣ ΠΟΥΣ, ΕΚΤΕΙΝΩΝ;;;;;
2604;X636139;ΕΚΤΟΜΗ ΒΛΑΒΗΣ, ΤΕΝΟΝΤΑΣ, ΕΛΥΤΡΟ ΤΕΝΟΝΤΑ, Η ΚΑΨΟΥΛΑ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΘΥΛΑΚΕΚΤΟΜΗΣ) (ΠΧ. ΚΥΣΤΗ Ή ΓΑΓΓΛΙΟ), ΑΚΡΟΣ ΠΟΥΣ;;;;;
2605;X636143;ΕΚΤΟΜΗ ΒΛΑΒΗΣ, ΤΕΝΟΝΤΑ, ΕΛΥΤΡΟΥ ΤΕΝΟΝΤΑ, 'Η ΚΑΨΟΥΛΑΣ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΘΥΛΑΚΕΚΤΟΜΗΣ) (ΠΧ. ΚΥΣΤΗ 'Η ΓΑΓΓΛΙΟ), ΔΑΧΤΥΛΟ(Α), ΚΑΘΕ ΒΛΑΒΗ;;;;;
2606;X636159;ΕΚΤΟΜΗ Ή ΑΠΟΞΕΣΗ ΟΣΤΙΚΗΣ ΚΥΣΤΗΣ 'Η ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ, ΑΣΤΡΑΓΑΛΟΣ  Ή ΠΤΕΡΝΑ,;;;;;
2607;X636163;ΕΚΤΟΜΗ Ή ΑΠΟΞΕΣΗ ΟΣΤΙΚΗΣ ΚΥΣΤΗΣ Ή ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ, ΑΣΤΡΑΓΑΛΟΣ Ή ΠΤΕΡΝΑ ΜΕ ΛΑΓΟΝΙΟ Η ΑΛΛΟ ΑΥΤΟΜΟΣΧΕΥΜΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΛΗΨΗ ΜΟΣΧΕΥΜΑΤΟΣ);;;;;
2608;X636165;ΕΚΤΟΜΗ Ή ΑΠΟΞΕΣΗ ΟΣΤΙΚΗΣ ΚΥΣΤΗΣ Ή ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ, ΑΣΤΡΑΓΑΛΟΣ  'Η ΠΤΕΡΝΑ,  ΜΕ ΑΛΛΟΜΟΣΧΕΥΜΑ;;;;;
2609;X636167;ΕΚΤΟΜΗ Ή ΑΠΟΞΕΣΗ ΟΣΤΙΚΗΣ ΚΥΣΤΗΣ Ή ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ, ΤΑΡΣΟΥ Ή ΜΕΤΑΤΑΡΣΙΟΥ, ΕΚΤΟΣ ΑΣΤΡΑΓΑΛΟΥ  Ή  ΠΤΕΡΝΑΣ;;;;;
2610;X636171;ΕΚΤΟΜΗ Η ΑΠΟΞΕΣΗ ΟΣΤΙΚΗΣ ΚΥΣΤΗΣ Ή ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ, ΤΑΡΣΟΥ Ή ΜΕΤΑΤΑΡΣΙΟΥ, ΕΚΤΟΣ ΑΣΤΡΑΓΑΛΟΥ Ή ΠΤΕΡΝΑΣ, ΜΕ ΛΑΓΟΝΙΟ Ή ΑΛΛΟ ΑΥΤΟΜΟΣΧΕΥΜΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗ ΛΗΨΗ ΜΟΣΧΕΥΜΑΤΟΣ);;;;;
2611;X636173;ΕΚΤΟΜΗ Η ΑΠΟΞΕΣΗ ΟΣΤΙΚΗΣ ΚΥΣΤΗΣ Η ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ, ΤΑΡΣΟΥ Ή ΜΕΤΑΤΑΡΣΙΟΥ, ΕΚΤΟΣ ΑΣΤΡΑΓΑΛΟΥ Ή ΠΤΕΡΝΑΣ, ΜΕ ΑΛΛΟΜΟΣΧΕΥΜΑ;;;;;
2612;X636175;ΕΚΤΟΜΗ Ή ΑΠΟΞΕΣΗ ΟΣΤΙΚΗΣ ΚΥΣΤΗΣ Ή ΚΑΛΟΗΘΟΥΣ ΟΓΚΟΥ, ΦΑΛΑΓΓΕΣ ΑΚΡΟΥ ΠΟΔΟΣ;;;;;
2613;X636179;ΟΣΤΕΟΤΟΜΙΑ, ΜΕΡΙΚΗ ΕΚΤΟΜΗ, ΚΕΦΑΛΗ ΠΕΜΠΤΟΥ ΜΕΤΑΤΑΡΣΙΟΥ (ΚΟΤΣΙ ΤΟΥ ΡΑΦΤΗ) (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
2614;X636181;ΟΣΤΕΟΤΟΜΙΑ, ΠΛΗΡΗΣ ΕΚΤΟΜΗ, ΚΕΦΑΛΗ ΠΡΩΤΟΥ ΜΕΤΑΤΑΡΣΙΟΥ;;;;;
2615;X636183;ΟΣΤΕΟΤΟΜΙΑ, ΠΛΗΡΗΣ ΕΚΤΟΜΗ, ΚΕΦΑΛΗ ΑΛΛΟΥ ΜΕΤΑΤΑΡΣΙΟΥ (ΔΕΥΤΕΡΟΥ, ΤΡΙΤΟΥ Ή ΤΕΤΑΡΤΟΥ);;;;;
2616;X636185;ΟΣΤΕΟΤΟΜΙΑ, ΠΛΗΡΗΣ ΕΚΤΟΜΗ, ΚΕΦΑΛΗ ΠΕΜΠΤΟΥ ΜΕΤΑΤΑΡΣΙΟΥ;;;;;
2617;X636187;ΟΣΤΕΟΤΟΜΙΑ, ΠΛΗΡΗΣ ΕΚΤΟΜΗ, ΚΕΦΑΛΕΣ ΟΛΩΝ ΤΩΝ ΜΕΤΑΤΑΡΣΙΩΝ, ΜΕ ΜΕΡΙΚΗ ΕΓΓΥΣ ΦΑΛΑΓΓΕΚΤΟΜΗ, EΚΤΟΣ ΠΡΩΤΟΥ ΜΕΤΑΤΑΡΣΙΟΥ (ΠΧ. ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ CLAYTON);;;;;
2618;X636191;ΟΣΤΕΟΤΟΜΙΑ, ΕΚΤΟΜΗ ΤΑΡΣΙΑΙΑΣ ΣΥΝΟΣΤΕΩΣΗΣ;;;;;
2619;X636195;ΟΣΤΕΟΤΟΜΙΑ, ΠΤΕΡΝΑ;;;;;
2620;X636197;ΟΣΤΕΟΤΟΜΙΑ, ΠΤΕΡΝΑ, ΓΙΑ ΑΚΑΝΘΑ, ΜΕ Ή ΑΝΕΥ ΑΠΟΔΕΣΜΕΥΣΗ ΠΕΛΜΑΤΙΑΙΑΣ ΠΕΡΙΤΟΝΙΑΣ;;;;;
2621;X636199;ΧΕΙΡΟΥΡΓΙΚΟΣ ΚΑΘΑΡΙΣΜΟΣ ΑΣΤΡΑΓΑΛΟΥ Η ΠΤΕΡΝΑΣ;;;;;
2622;X636203;ΧΕΙΡΟΥΡΓΙΚΟΣ ΚΑΘΑΡΙΣΜΟΣ ΟΣΤΟΥ ΤΑΡΣΟΥ Η ΜΕΤΑΤΑΡΣΙΟΥ;;;;;
2623;X636207;ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΦΑΛΑΓΓΑΣ ΔΑΚΤΥΛΟΥ;;;;;
2624;X636211;ΑΦΑΙΡΕΣΗ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ, ΒΑΣΗ ΦΑΛΑΓΓΑΣ, ΚΑΘΕ ΔΑΧΤΥΛΟ ΚΑΤΩ ΑΚΡΟΥ;;;;;
2625;X636219;ΑΣΤΡΑΓΑΛΕΚΤΟΜΗ;;;;;
2626;X636239;ΑΝΕΝΕΡΓΟΣ;;;;;
2627;X636259;ΦΑΛΑΓΓΕΚΤΟΜΗ, ΔΑΧΤΥΛΟ ΚΑΤΩ ΑΚΡΟΥ, ΚΑΘΕ ΔΑΧΤΥΛΟ;;;;;
2628;X636265;ΑΦΑΙΡΕΣΗ, ΚΟΝΔΥΛΟΣ(ΟΙ), ΑΠΩ ΑΚΡΟ ΤΗΣ ΦΑΛΑΓΓΑΣ, ΚΑΘΕ ΔΑΧΤΥΛΟ ΚΑΤΩ ΑΚΡΟΥ;;;;;
2629;X636279;ΗΜΙΦΑΛΑΓΓΕΚΤΟΜΗ Ή ΕΚΤΟΜΗ ΜΕΣΟΦΑΛΑΓΓΙΚΗΣ ΑΡΘΡΩΣΗΣ, ΔΑΧΤΥΛΟ ΚΑΤΩ ΑΚΡΟΥ, ΕΓΓΥΣ ΑΚΡΟ ΦΑΛΑΓΓΑΣ, ΚΑΘΕ ΦΑΛΑΓΓΑ;;;;;
2630;X636301;ΡΙΖΙΚΗ ΑΦΑΙΡΕΣΗ ΟΓΚΟΥ, ΟΣΤΟ, ΤΑΡΣΟΣ (ΕΚΤΟΣ ΑΣΤΡΑΓΑΛΟΥ Ή ΠΤΕΡΝΑΣ);;;;;
2631;X636305;ΡΙΖΙΚΗ ΑΦΑΙΡΕΣΗ ΟΓΚΟΥ, ΟΣΤΟ,ΜΕΤΑΤΑΡΣΙΟ;;;;;
2632;X636309;ΡΙΖΙΚΗ ΑΦΑΙΡΕΣΗ ΟΓΚΟΥ, ΟΣΤΟ, ΦΑΛΑΓΓΑ ΔΑΧΤΥΛΟΥ ΚΑΤΩ ΑΚΡΟΥ;;;;;
2633;X636339;ΑΦΑΙΡΕΣΗ ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΑΚΡΟΣ ΠΟΥΣ, ΥΠΟΔΟΡΙΟ;;;;;
2634;X636343;ΑΦΑΙΡΕΣΗ ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΑΚΡΟΣ ΠΟΥΣ, ΕΝ ΤΩ ΒΑΘΕΙ;;;;;
2635;X636345;ΑΝΕΝΕΡΓΟΣ;;;;;
2636;X636359;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΤΕΝΟΝΤΑΣ, ΚΑΜΠΤΗΡΑΣ, ΑΚΡΟΣ ΠΟΥΣ,  ΠΡΩΤΕΥΟΥΣΑ Ή ΔΕΥΤΕΡΕΥΟΥΣΑ, ΑΝΕΥ ΕΛΕΥΘΕΡΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΚΑΘΕ ΤΕΝΟΝΤΑΣ;;;;;
2637;X636363;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΤΕΝΟΝΤΑΣ, ΚΑΜΠΤΗΡΑΣ, ΑΚΡΟΣ ΠΟΥΣ,  ΔΕΥΤΕΡΕΥΟΥΣΑ, ΜΕ ΕΛΕΥΘΕΡΟ ΜΟΣΧΕΥΜΑ, ΚΑΘΕ ΤΕΝΟΝΤΑΣ  (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗ ΛΗΨΗ ΜΟΣΧΕΥΜΑΤΟΣ);;;;;
2638;X636375;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΤΕΝΟΝΤΑΣ, ΕΚΤΕΙΝΩΝ, ΑΚΡΟΣ ΠΟΥΣ, ΠΡΩΤΕΥΟΥΣΑ Ή ΔΕΥΤΕΡΕΥΟΥΣΑ, ΚΑΘΕ ΤΕΝΟΝΤΑΣ;;;;;
2639;X636379;ΑΠΟΚΑΤΑΣΤΑΣΗ, ΤΕΝΟΝΤΑΣ, ΕΚΤΕΙΝΩΝ, ΑΚΡΟΣ ΠΟΥΣ, ΔΕΥΤΕΡΕΥΟΥΣΑ ΜΕ ΕΛΕΥΘΕΡΟ ΜΟΣΧΕΥΜΑ, ΚΑΘΕ ΤΕΝΟΝΤΑΣ  (ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗ ΛΗΨΗ ΜΟΣΧΕΥΜΑΤΟΣ);;;;;
2640;X636399;ΤΕΝΟΝΤΟΛΥΣΗ, ΚΑΜΠΤΗΡΑΣ, ΚΑΤΩ ΑΚΡΟ, ΕΝΑΣ ΤΕΝΟΝΤΑΣ;;;;;
2641;X636403;ΤΕΝΟΝΤΟΛΥΣΗ, ΚΑΜΠΤΗΡΑΣ, ΚΑΤΩ ΑΚΡΟ, ΠΟΛΛΑΠΛΟΙ ΤΕΝΟΝΤΕΣ;;;;;
2642;X636409;ΤΕΝΟΝΤΟΛΥΣΗ, ΕΚΤΕΙΝΩΝ, ΚΑΤΩ ΑΚΡΟ, ΜΟΝΟΣ ΤΕΝΟΝΤΑΣ;;;;;
2643;X636411;ΤΕΝΟΝΤΟΛΥΣΗ, ΕΚΤΕΙΝΩΝ, ΚΑΤΩ ΑΚΡΟ, ΠΟΛΛΑΠΛΟΙ ΤΕΝΟΝΤΕΣ;;;;;
2644;X636419;ΤΕΝΟΝΤΟΤΟΜΗ, ΑΝΟΙΧΤΗ, ΚΑΜΠΤΗΡΑΣ ΤΕΝΟΝΤΑΣ, ΑΚΡΟΣ ΠΟΥΣ, ΕΝΑΣ Ή ΠΟΛΛΑΠΛΟΙ ΤΕΝΟΝΤΑΣ(ΕΣ) (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
2645;X636423;ΑΝΕΝΕΡΓΟΣ;;;;;
2646;X636427;ΤΕΝΟΝΤΟΤΟΜΗ, ΑΝΟΙΧΤΗ, ΕΚΤΕΙΝΩΝ , ΑΚΡΟΣ ΠΟΥΣ Ή ΔΑΚΤΥΛΟ, ΚΑΘΕ ΤΕΝΟΝΤΑΣ;;;;;
2647;X636435;ΕΚΤΟΜΗ ΤΟΥ ΕΠΙΚΟΥΡΙΚΟΥ ΤΑΡΣΙΑΙΟΥ ΣΚΑΦΟΕΙΔΟΥΣ ΟΣΤΟΥ ΜΕ Η ΧΩΡΙΣ ΜΕΤΑΤΟΠΙΣΗ ΟΠΙΣΘΙΟΥ ΚΝΗΜΙΑΙΟΥ ΤΕΝΟΝΤΑ   (ΠΧ. ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ KIDNER);;;;;
2648;X636439;ΤΕΝΟΝΤΟΤΟΜΗ, ΕΠΙΜΗΚΥΝΣΗ,Ή ΑΠΟΔΕΣΜΕΥΣΗ, ΑΠΑΓΩΓΟΣ ΜΥΣ  ΜΕΓΑΛΟΥ ΔΑΚΤΥΛΟΥ;;;;;
2649;X636459;ΔΙΑΙΡΕΣΗ ΠΕΛΜΑΤΙΑΙΑΣ ΠΕΡΙΤΟΝΙΑΣ ΚΑΙ ΜΥΟΣ (ΠΧ. ΔΙΑΝΟΙΞΗ ΜΕ ΤΗ ΜΕΘΟΔΟ STEINDLER) (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
2650;X636479;ΘΥΛΑΚΟΤΟΜΗ, ΜΕΣΟ ΠΟΔΙ, ΜΟΝΟ ΕΣΩ ΑΠΟΔΕΣΜΕΥΣΗ (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
2651;X636481;ΘΥΛΑΚΟΤΟΜΗ, ΜΕΣΟ ΠΟΔΙ, ΜΕ ΕΠΙΜΗΚΥΝΣΗ ΤΕΝΟΝΤΑ;;;;;
2652;X636483;ΘΥΛΑΚΟΤΟΜΗ, ΜΕΣΟ ΠΟΔΙ, ΕΚΤΕΝΗΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΟΠΙΣΘΙΑΣ ΠΟΔΟΚΝΗΜΙΚΗΣ  ΘΥΛΑΚΟΤΟΜΗΣ ΚΑΙ ΕΠΙΜΗΚΥΝΣΗ ΤΕΝΟΝΤΑ(ΩΝ) (ΠΧ. ΕΠΙΜΟΝΗ ΒΛΑΙΣΟΤΗΤΑ ΑΚΡΟΥ ΠΟΔΟΣ);;;;;
2653;X636487;ΘΥΛΑΚΟΤΟΜΗ, ΜΕΣΟΤΑΡΣΙΟ (ΠΧ. ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ HEYMAN);;;;;
2654;X636499;ΘΥΛΑΚΟΤΟΜΗ, ΜΕΤΑΤΑΡΣΟΦΑΛΑΓΓΙΚΗ ΑΡΘΡΩΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΕΝΟΝΤΟΡΑΦΗ ΚΑΘΕ ΑΡΘΡΩΣΗ (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
2655;X636503;ΘΥΛΑΚΟΤΟΜΗ, ΜΕΣΟΦΑΛΑΓΓΙΚΗ ΑΡΘΡΩΣΗ, ΚΑΘΕ ΑΡΘΡΩΣΗ (ΞΕΧΩΡΙΣΤΗ ΕΠΕΜΒΑΣΗ);;;;;
2656;X636519;ΣΥΝΔΑΚΤΥΛΙΑ, ΔΑΧΤΥΛΑ ΚΑΤΩ ΑΚΡΟΥ (ΠΧ. ΜΕ ΜΕΜΒΡΑΝΗ Ή ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ KELIKIAN);;;;;
2657;X636529;ΔΙΟΡΘΩΣΗ, ΣΦΥΡΟΔΑΚΤΥΛΙΑ (ΠΧ. ΜΕΣΟΦΑΛΑΓΓΙΚΗ ΣΥΝΤΗΞΗ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ ΦΑΛΑΓΓΕΚΤΟΜΗ);;;;;
2658;X636531;ΔΙΟΡΘΩΣΗ, ΠΑΡΑΜΟΡΦΩΣΗ ΠΕΜΠΤΟΥ ΔΑΚΤΥΛΟΥ, ΜΕ ΠΛΑΣΤΙΚΗ ΣΥΓΚΛΕΙΣΗ ΔΕΡΜΑΤΟΣ (Π.Χ. ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ RUIZ-MORA);;;;;
2659;X636535;ΟΣΤΕΟΤΟΜΙΑ, ΜΕΡΙΚΗ, ΕΚΤΟΜΗ ΕΞΩΣΤΟΣΗΣ Ή ΚΟΝΔΥΛΟΥ, ΚΕΦΑΛΗ ΜΕΤΑΤΑΡΣΙΟΥ, ΚΑΘΕ ΚΕΦΑΛΗ ΜΕΤΑΤΑΡΣΙΟΥ;;;;;
2660;X636537;ΔΙΟΡΘΩΣΗ ΔΥΣΚΑΜΨΙΑΣ ΜΕΓΑΛΟΥ ΔΑΧΤΥΛΟΥ ΜΕ ΕΚΤΟΜΗ ΧΕΙΛΟΥΣ, ΝΕΑΡΟΠΟΙΗΣΗ ΚΑΙ  ΑΠΟΔΕΣΜΕΥΣΗ ΚΑΨΑΣ ΤΗΣ ΠΡΩΤΗΣ ΜΕΤΑΤΑΡΣΟΦΑΛΑΓΓΙΚΗΣ ΑΡΘΡΩΣΗΣ;;;;;
2661;X636539;ΔΙΟΡΘΩΣΗ, ΒΛΑΙΣΟΣ ΜΕΓΑΛΟΣ ΔΑΚΤΥΛΟΣ  ΑΠΛΗ ΕΚΤΟΜΗ ΕΞΩΣΤΟΣΗΣ (ΠΧ. ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ SILVER);;;;;
2662;X636543;ΔΙΟΡΘΩΣΗ, ΒΛΑΙΣΟΣ ΜΕΓΑΛΟΣ ΔΑΚΤΥΛΟΣ   ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ KELLER, MCBRIDE Ή MAYO;;;;;
2663;X636545;ΔΙΟΡΘΩΣΗ, ΒΛΑΙΣΟΣ ΜΕΓΑΛΟΣ ΔΑΚΤΥΛΟΣ ΑΡΘΡΩΣΗΣ ΜΕ ΕΜΦΥΤΕΥΜΑ;;;;;
2664;X636547;ΔΙΟΡΘΩΣΗ, ΒΛΑΙΣΟΣ ΜΕΓΑΛΟΣ ΔΑΚΤΥΛΟΣ , ME ΜΟΣΧΕΥΜΑΤΑ ΤΕΝΟΝΤΑ (ΠΧ. ΔΙΑΔΙΚΑΣΙΑ ΤΥΠΟΥ JOPLIN);;;;;
2665;X636551;ΔΙΟΡΘΩΣΗ, ΒΛΑΙΣΟΣ ΜΕΓΑΛΟΣ ΔΑΚΤΥΛΟΣ ΜΕ ΟΣΤΕΟΤΟΜΙΑ ΜΕΤΑΤΑΡΣΙΟΥ (ΠΧ.ΕΠΕΜΒΑΣΕΙΣ ΤΥΠΟΥ MITCHELL, CHEVRON Ή  CONCENTRIC);;;;;
