Α/α;ΚΩΔΙΚΟΣ;ΤΕΛΙΚΕΣ ΟΝΟΜΑΣΙΕΣ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;
8192;Β311905.83;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΤΗΣ ΙΝΩΔΟΛΥΣΗΣ;;;;;
8193;Β311905.84;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΤΗΣ ΙΝΩΔΟΛΥΣΗΣ;;;;;
8194;Β311905.85;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΕΞΟΥΔΕΤΕΡΩΣΗΣ ΤΗΣ ΗΠΑΡΙΝΗΣ;;;;;
8195;Β311905.86;ΑΝΙΧΝΕΥΣΗ ΑΝΤΙΗΠΑΡΙΝΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ (ΕΝΑΝΤΙ PF4/H), ΠΟΙΟΤΙΚΗ ΜΕΘΟΔΟΣ;;;;;
8196;Β311905.87;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΗΠΑΡΙΝΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ (ΕΝΑΝΤΙ PF4/H), ΑΝΟΣΟΛΟΓΙΚΗ ΜΕΘΟΔΟΣ (ELISA);;;;;
8197;Β311905.88;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΗΠΑΡΙΝΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ (ΕΝΑΝΤΙ PF4/H), ΛΕΙΤΟΥΡΓΙΚΗ  ΜΕΘΟΔΟΣ;;;;;
8198;Β311905.89;ΕΚΤΙΜΗΣΗ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΑΙΜΟΠΕΤΑΛΙΩΝ ΜΕ ΤΟΝ ΑΝΑΛΥΤΗ PFA-100;;;;;
8199;Β311905.90;ΕΚΤΙΜΗΣΗ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΑΙΜΟΠΕΤΑΛΙΩΝ ΜΕ ΤΟΝ ΑΝΑΛΥΤΗ MULTIPLATE ΜΕ ΔΙΑΦΟΡΟΥΣ ΔΙΕΓΕΡΤΕΣ;;;;;
8200;Β311905.91;ΕΚΤΙΜΗΣΗ ΑΠΑΝΤΗΣΗ  ΣΤΗΝ ΑΣΠΙΡΙΝΗ ΜΕ ΤΟΝ ΑΝΑΛΥΤΗ PFA-100;;;;;
8201;Β311905.92;ΕΚΤΙΜΗΣΗ ΑΠΑΝΤΗΣΗ  ΣΤΗΝ ΑΣΠΙΡΙΝΗ ΜΕ ΤΟΝ ΑΝΑΛΥΤΗ ΜULTIPLATE;;;;;
8202;Β311905.93;ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ TΗΣ ΠΡΟΘΡΟΜΒΙΝΗΣ ΙGG και IGM ;;;;;
8203;Β311905.94;ANIXNEYΣΗ ΜΕΤΑΛΛΑΞΗΣ FVLEIDEN (ΜΟΡΙΑΚΗ ΜΕΘΟΔΟΣ, PCR);;;;;
8204;Β311905.95;ΑΝΙΧΝΕΥΣΗΣ ΜΕΤΑΛΛΑΞΗΣ FIIG20210A (ΜΟΡΙΑΚΗ ΜΕΘΟΔΟΣ, PCR);;;;;
8205;Β311905.96;ΑΝΙΧΝΕΥΣΗ ΜΕΤΑΛΛΑΞΗΣ MTHFR 677(ΜΟΡΙΑΚΗ ΜΕΘΟΔΟΣ, PCR);;;;;
8206;Β311905.97;ΑΝΙΧΝΕΥΣΗ ΤΡΙΩΝ ΜΕΤΑΛΛΑΞΕΩΝ ΘΡΟΜΒΟΦΙΛΙΑΣ (FVLEIDEN, FIIG20210A, MTHFR 677);;;;;
8207;Β311905.98;ΑΝΙΧΝΕΥΣΗ ΑΛΛΩΝ ΜΕΤΑΛΛΑΞΕΩΝ ΘΡΟΜΒΟΦΙΛΙΑΣ;;;;;
8208;Β311905.99;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ ΠΑΡΑΓΟΝΤΑ ΙΧ (FΙΧ);;;;;
8209;Β311905.100;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ ΠΑΡΑΓΟΝΤΑ Χ (FΧ);;;;;
8210;Β311905.101;ΔΟΚΙΜΑΣΙΑ ΑΡΑΙΩΣΕΩΝ ΓΙΑ ΕΛΕΓΧΟ ΕΠΙΚΤΗΤΩΝ ΑΝΑΣΤΟΛΕΩΝ ΤΗΣ ΠΗΞΗΣ ;;;;;
8211;Β311905.102;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΝΡΓΟΠΟΙΗΤΗ ΑΝΑΣΤΑΛΤΗ ΤΟΥ ΠΛΑΣΜΙΝΟΓΟΝΟΥ ΤΥΠΟΥ 1 (PAI-1);;;;;
8212;Β311905.103;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΠΙΠΕΔΩΝ ADAMTS13;;;;;
8213;Β311905.104;ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΑΙΜΟΠΕΤΑΛΙΑΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ME ΜΕΘΟΔΟ ΣΤΕΡΕΑΣ ΦΑΣΗΣ;;;;;
8214;Β311905.105;ΑΛΚΑΛΙΚΗ ΦΩΣΦΑΤΑΣΗ ΟΥΔΕΤΕΡΟΦΙΛΩΝ (ΝΑΡ, ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ);;;;;
8215;Β311905.106;ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΜΥΕΛΟΫΠΕΡΟΞΕΙΔΑΣΗΣ;;;;;
8216;Β311905.107;ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ SUDAN BLACK B ;;;;;
8217;Β311905.108;ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ PAS (RERIODIC ACID SCHIFF);;;;;
8218;Β311905.109; ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΕΙΔΙΚΗΣ ΕΣΤΕΡΑΣΗΣ (ΥΠΟΣΤΡΩΜΑ ΧΛΩΡΟΞΙΚΟΣ ΕΣΤΕΡΑΣ ΑS-D ΝΑΦΘΟΛΗΣ);;;;;
8219;Β311905.110;ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ  ΜΗ ΕΙΔΙΚΗΣ ΕΣΤΕΡΑΣΗΣ (ΥΠΟΣΤΡΩΜΑ ΟΞΙΚΟΣ ΕΣΤΕΡΑΣ α-ΝΑΦΘΟΛΗΣ-NASD );;;;;
8220;Β311905.111; ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΜΗ ΕΙΔΙΚΗΣ ΕΣΤΕΡΑΣΗΣ (ΥΠΟΣΤΡΩΜΑ ΟΞΙΚΟΣ ΕΣΤΕΡΑΣ α-ΝΑΦΘΟΛΗΣ KAI ΑΝΑΣΤΟΛΗ);;;;;
8221;Β311905.112;ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΜΗ ΕΙΔΙΚΗΣ ΕΣΤΕΡΑΣΗΣΜΕ ΦΘΟΡΙΟΥΧΟ ΝΑΤΡΙΟ (NASDA+NAF);;;;;
8222;Β311905.113;ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΟΞΙΝΗΣ ΦΩΣΦΑΤΑΣΗΣ ΚΑΙ ΑΝΑΣΤΟΛΗ ΜΕ ΤΡΥΓΙΚΟ (TRAP);;;;;
8223;Β311905.114;ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΣΙΔΗΡΟΚΥΑΝΙΟΥΧΟΥ ΚΑΛΙΟΥ;;;;;
8224;Β311905.115;ΔΟΚΙΜΑΣΙΑ ΛΥΣΕΩΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΣΕ ΟΞΙΝΙΣΘΕΝΤΑ ΟΡΟ (HAM TEST);;;;;
8225;Β311905.116;ΔΟΚΙΜΑΣΙΑ ΣΟΥΚΡΟΖΗΣ (SUCROSE LYSIS TEST);;;;;
8226;Β311905.117;ΑΝΕΠΑΡΚΕΙΑ ΓΛΥΚΟΖΟ-6-ΦΩΣΦΟΡΙΚΗΣ ΔΕΫΔΡΟΓΕΝΑΣΗΣ (G-6-PD);;;;;
8227;Β311905.118;ΑΝΕΠΑΡΚΕΙΑ ΦΩΣΦΟΓΛΥΚΟΝΙΚΗΣ ΔΕΫΔΡΟΓΕΝΑΣΗΣ;;;;;
8228;Β311905.119;ΑΝΕΠΑΡΚΕΙΑ ΔΙΣΦΩΣΦΟΡΟΓΛΥΚΕΡΟΜΟΥΤΑΣΗΣ;;;;;
8229;Β311905.120;ΑΝΕΠΑΡΚΕΙΑ ΦΩΣΦΟΓΛΥΚΟΚΙΝΑΣΗΣ (ΕΞΟΚΙΝΑΣΗΣ);;;;;
8230;Β311905.121;ΑΝΕΠΑΡΚΕΙΑ ΓΛΥΚΟΖΟΪΣΟΜΕΡΑΣΗΣ;;;;;
8231;Β311905.122;ΑΝΕΠΑΡΚΕΙΑ ΤΡΙΟΖΟΦΩΣΦΟΡΙΚΗΣ ΙΣΟΜΕΡΑΣΗΣ;;;;;
8232;Β311905.123;ΑΝΕΠΑΡΚΕΙΑ ΦΩΣΦΟΡΟΓΛΥΚΕΡΙΝΙΚΗΣ ΚΙΝΑΣΗΣ;;;;;
8233;Β311905.124;ΑΝΕΠΑΡΚΕΙΑ ΠΥΡΟΣΤΑΦΥΛΙΚΗΣ  ΚΙΝΑΣΗΣ;;;;;
8234;Β311905.125;ΑΝΕΠΑΡΚΕΙΑ ΑΝΑΓΩΓΑΣΗΣ ΤΟΥ ΓΛΟΥΤΑΘΕΙΟΥ (NADP);;;;;
8235;Β311905.126;ΒΙΟΣΥΝΘΕΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ (α- και β- ΑΛΥΣΕΙΣ);;;;;
8236;Β311905.127;ΚΑΜΠΥΛΗ ΚΟΡΕΣΜΟΥ Ο2-ΑΙΜΟΣΦΑΙΡΙΝΗΣ ;;;;;
8237;Β311905.128;ΜΕΛΕΤΗ ΠΡΩΤΕΪΝΩΝ ΜΕΜΒΡΑΝΗΣ ΕΡΥΘΡΟΚΥΤΤΑΡΟΥ;;;;;
8238;Β311905.129;ΑΠΟΜΟΝΩΣΗ KAI ΜΕΤΡΗΣΗ ΚΥΤΤΑΡΩΝ ΑΠΟ ΠΕΡΙΦΕΡΙΚΟ ΑΙΜΑ Ή ΜΥΕΛΟ ΤΩΝ ΟΣΤΩΝ,  ΚΑΙ ΔΙΑΤΗΡΗΣΗ ΣΕ ΕΙΔΙΚΟ ΜΕΣΟ ;;;;;
8239;Β311905.130;ΜΟΡΙΑΚΗ ΑΝΙΧΝΕΥΣΗ  ΧΙΜΑΙΡΙΣΜΟΥ ΣΕ ΟΛΙΚΟ ΔΕΙΓΜΑ ( ΑΙΜΑ Ή ΜΥΕΛΟΣ ) ΤΟΥ ΛΗΠΤΗ ΜΕΤΑ ΤΗ ΜΕΤΑΜΟΣΧΕΥΣΗ;;;;;
8240;Β311905.131;ΜΟΡΙΑΚΗ ΑΝΙΧΝΕΥΣΗ  ΧΙΜΑΙΡΙΣΜΟΥ ΣΕ  ΟΛΙΚΟ  ΔΕΙΓΜΑ (ΑΙΜΑ Ή ΜΥΕΛΟΣ ) ΤΟΥ ΔΟΤΗ;;;;;
8241;Β311905.132;ΜΟΡΙΑΚΗ ΑΝΙΧΝΕΥΣΗ  ΧΙΜΑΙΡΙΣΜΟΥ ΣΕ ΟΛΙΚΟ ΔΕΙΓΜΑ ( ΑΙΜΑ Ή ΜΥΕΛΟΣ ) ΤΟΥ ΛΗΠΤΗ ΠΡΟ ΜΕΤΑΜΟΣΧΕΥΣΗΣ;;;;;
8242;Β311905.133;ΜΟΡΙΑΚΗ ΑΝΙΧΝΕΥΣΗ  ΧΙΜΑΙΡΙΣΜΟΥ ΜΕΤΑ ΑΠΟ ΔΙΑΧΩΡΙΣΜΟ ΚΥΤΤΑΡΩΝ ΣΤΟ ΔΕΙΓΜΑ ΤΟΥ ΛΗΠΤΗ ΜΕΤΑ ΤΗ ΜΕΤΑΜΟΣΧΕΥΣΗ;;;;;
8243;Β311905.134;ΑΝΑΛΥΣΗ ΑΛΛΗΛΟΥΧΙΑΣ DNA (ΜΙΑ ΑΛΛΗΛΟΥΧΙΑ);;;;;
8244;Β311905.135;ΦΥΛΑΞΗ ΔΕΙΓΜΑΤΟΣ DNA (DNA BANKING);;;;;
8245;Β311905.136;ΦΥΛΑΞΗ ΔΕΙΓΜΑΤΟΣ RNA;;;;;
8246;Β311905.137;ΜΟΡΙΑΚΗ (ΓΟΝΙΔΙΑΚΗ) ΜΕΛΕΤΗ α-ΓΟΝΙΔΙΟΥ ΑΙΜΟΣΦΑΙΡΙΝΗΣ ;;;;;
8247;Β311905.138;ΜΟΡΙΑΚΗ (ΓΟΝΙΔΙΑΚΗ) ΜΕΛΕΤΗ β-ΓΟΝΙΔΙΟΥ, δ-ΓΟΝΙΔΙΟΥ, γ-ΓΟΝΙΔΙΟΥ ΑΙΜΟΣΦΑΙΡΙΝΗΣ;;;;;
8248;Β311905.139;"ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ ( RT-PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ t(15;17), PML-RARA";;;;;
8249;Β311905.140;"ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ ( RT-PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ/ΑΝΑΣΤΡΟΦΗΣ  (16;16) , MYH11-CBFB";;;;;
8250;Β311905.141;"ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ ( RT-PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ  t(8;21) , ETO-AML1";;;;;
8251;Β311905.142;"ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ ( RT-PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ t(5;12),  PDGRFB-ETV6";;;;;
8252;Β311905.143;"ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ ( RT-PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ  t(14;18), IgH-bcl2";;;;;
8253;Β311905.144;"ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ ( RT-PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ  t(11;14), bcl1-IgH";;;;;
8254;Β311905.145;"ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ ( RT-PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ   t(2;5),  NPM-ALK";;;;;
8255;Β311905.146;"ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ ( RT-PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΘΕΣΗΣ  t(4;11), MLL-AF4";;;;;
8256;Β311905.147;ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ (PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ  ΜΕΤΑΛΛΑΞΗΣ JAK2 V617F;;;;;
8257;Β311905.148;ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ (PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΛΛΑΞΗΣΤΟΥ ΓΟΝΙΔΙΟΥ  kit  ΣΤΟ ΚΩΔΙΚΟΝΙΟ 816;;;;;
8258;Β311905.149;ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ (PCR) ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΜΕΤΑΛΛΑΞΗΣ T315I ΣΤΟ ΥΒΡΙΔΙΚΟ ΓΟΝΙΔΙΟ bcr-abl.;;;;;
8259;Β311905.150;ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ (PCR) ΚΑΙ ΤΡΙΧΟΕΙΙΔΙΚΗ ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΜΕΤΑΛΛΑΞΗΣ ΤΟΥ ΓΟΝΙΔΙΟΥ NPM1;;;;;
8260;Β311905.151;ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ (PCR)  ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΜΟΝΟΚΛΩΝΙΚΟΤΗΤΑΣ Β ΛΕΜΦΟΚΥΤΤΑΡΩΝ (VH-ΚΛΩΝΙΚΟΤΗΤΑ);;;;;
8261;Β311905.152;ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ (PCR)  ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΜΟΝΟΚΛΩΝΙΚΟΤΗΤΑΣ Τ ΛΕΜΦΟΚΥΤΤΑΡΩΝ (TCRβ-ΚΛΩΝΙΚΟΤΗΤΑ);;;;;
8262;Β311905.153;ΑΝΤΙΔΡΑΣΗ ΑΛΥΣΙΔΩΤΗΣ ΠΟΛΥΜΕΡΑΣΗΣ (PCR)  ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΜΟΝΟΚΛΩΝΙΚΟΤΗΤΑΣ Τ ΛΕΜΦΟΚΥΤΤΑΡΩΝ (TCRγ-ΚΛΩΝΙΚΟΤΗΤΑ);;;;;
8263;Β311905.154;ΑΝΙΧΝΕΥΣΗ ΑΛΛΗΛΟΥΧΙΑΣ ΒΑΣΕΩΝ ΤΗΣ ΜΟΝΟΚΛΩΝΙΚΗΣ VH, TCRβ, TCRγ, ΚΑΤΑΣΚΕΥΣΗ ΕΚΚΙΝΗΤΗ ΕΙΔΙΚΟΥ ΓΙΑ ΑΣΘΕΝΗ ΜΕ ΟΞΕΙΑ ΛΕΜΦΟΒΛΑΣΤΙΚΗ ΛΕΥΧΑΙΜΙΑ ΚΑΙ ΑΝΙΧΝΕΥΣΗ ΥΠΑΡΞΗΣ ΥΠΟΛΕΙΜΜΑΤΙΚΗΣ ΝΟΣΟΥ ΜΕ ΜΟΡΙΑΚΟ ΤΡΟΠΟ;;;;;
8264;Β311905.155;ΑΝΙΧΝΕΥΣΗ ΑΛΛΗΛΟΥΧΙΑΣ ΒΑΣΕΩΝ DNA ΤΗΣ ΒΑΡΙΑΣ ΑΛΥΣΙΔΑΣ ΤΗΣ ΑΝΟΣΟΣΦΑΙΡΙΝΗΣ ΚΑΙ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΟΣΟΣΤΟΥ ΥΠΕΡΜΕΤΑΛΛΑΞΕΩΝ  ΣΤΗ ΧΡΟΝΙΑ ΛΕΜΦΟΚΥΤΤΑΡΙΚΗ ΛΕΥΧΑΙΜΙΑ;;;;;
8265;Β311905.156;ΠΟΣΟΤΙΚΗ  RT-PCR ΓΙΑ ΤΗ ΜΕΤΡΗΣΗ ΤΩΝ ΜΕΤΑΓΡΑΦΩΝ bcr-abl;;;;;
8266;Β311905.157;ΠΟΣΟΤΙΚΗ  RT-PCR ΓΙΑ ΤΗ ΜΕΤΡΗΣΗ ΤΩΝ ΜΕΤΑΓΡΑΦΩΝ PML-RARA;;;;;
8267;Β311905.158;ΠΟΣΟΤΙΚΗ  RT-PCR ΓΙΑ ΤΗ ΜΕΤΡΗΣΗ ΤΩΝ ΜΕΤΑΓΡΑΦΩΝ AML-ETO;;;;;
8268;Β311905.159;ΜΟΡΙΑΚΗ ΔΙΑΓΝΩΣΗ ΝΟΣΟΥ GAUCHER;;;;;
8269;Β311905.160;ΜΟΡΙΑΚΗ ΔΙΑΓΝΩΣΗ ΑΙΜΟΧΡΩΜΑΤΩΣΗΣ;;;;;
8270;Β311905.161;ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) , ΑΝΑ ΑΝΙΧΝΕΥΤΗ;;;;;
8271;Β311905.162;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ  t(9;22), bcr-abl";;;;;
8272;Β311905.163;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ t(15;17), PML-RARA";;;;;
8273;Β311905.164;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH)ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ/ΑΝΑΣΤΡΟΦΗΣ (16;16), MYH11-CBFB";;;;;
8274;Β311905.165;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ t(8;21), ETO-AML1";;;;;
8275;Β311905.166;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ t(5;12), PDGRFB-ETV6";;;;;
8276;Β311905.167;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ t(14;18), IgH-bcl2";;;;;
8277;Β311905.168;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ t(11;14), bcl1-IgH";;;;;
8278;Β311905.169;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ t(8;14), myc-IgH";;;;;
8279;Β311905.170;"ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΜΕΤΑΘΕΣΗΣ t(4;11), MLL-AF4";;;;;
8280;Β311905.171;ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΕΛΛΕΙΨΗΣ del17p;;;;;
8281;Β311905.172;ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΕΛΛΕΙΨΗΣ del11q;;;;;
8282;Β311905.173;ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΕΛΛΕΙΨΗΣ del5q;;;;;
8283;Β311905.174;ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΕΛΛΕΙΨΗΣ del13q;;;;;
8284;Β311905.175;ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΤΡΙΣΩΜΙΑΣ 12;;;;;
8285;Β311905.176;ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΤΡΙΣΩΜΙΑΣ 21;;;;;
8286;Β311905.177;ΦΘΟΡΙΖΩΝ ΥΒΡΙΔΙΣΜΟΣ IN SITU (FISH) ΓΙΑ ΑΝΙΧΝΕΥΣΗ ΤΗΣ ΧΡΩΜΟΣΩΜΙΚΗΣ ΤΡΙΣΩΜΙΑΣ 8 ;;;;;
8287;Β311905.178;ΟΞΙΝΗ Β-ΓΛΥΚΟΣΙΔΑΣΗ (ΓΛΥΚΟΣΕΡΕΒΡΟΣΙΔΑΣΗ) ΛΕΥΚΟΚΥΤΤΑΡΩΝ Ή ΙΝΟΒΛΑΣΤΩΝ ΔΕΡΜΑΤΟΣ;;;;;
8288;Β311905.179;ΧΙΤΟΤΡΙΟΣΙΔΑΣΗ ΠΛΑΣΜΑΤΟΣ;;;;;
8289;Β311905.180;ΧΗΜΟΚΙΝΗ CCL-18 (PARC) ΠΛΑΣΜΑΤΟΣ;;;;;
8290;Β311905.181;ΟΞΙΝΗ ΣΦΙΓΓΟΜΥΕΛΙΝΑΣΗ;;;;;
